stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/lamp_light_05_a.png,stimuli/lamp_light_05_b.png,0,0,0,34,"[1, 0]",left,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_bump_02_a.png,stimuli/lamp_bump_02_b.png,0,1,1,21,"[1, 0]",right,0,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_bump_01_a.png,stimuli/hdri_bump_01_b.png,0,2,2,0,"[0, 1]",right,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_light_02_a.png,stimuli/hdri_light_02_b.png,0,3,3,11,"[1, 0]",right,0,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_light_02_a.png,stimuli/lamp_light_02_b.png,0,4,4,31,"[1, 0]",left,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_bump_07_a.png,stimuli/lamp_bump_07_b.png,0,5,5,26,"[1, 0]",right,0,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_light_08_a.png,stimuli/lamp_light_08_b.png,0,6,6,37,"[1, 0]",left,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_bump_02_a.png,stimuli/hdri_bump_02_b.png,0,7,7,1,"[1, 0]",left,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_light_10_a.png,stimuli/lamp_light_10_b.png,0,8,8,39,"[1, 0]",left,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_bump_03_a.png,stimuli/lamp_bump_03_b.png,0,9,9,22,"[1, 0]",left,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_bump_09_a.png,stimuli/lamp_bump_09_b.png,0,10,10,28,"[1, 0]",right,0,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_light_09_a.png,stimuli/hdri_light_09_b.png,0,11,11,18,"[0, 1]",left,0,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_bump_07_a.png,stimuli/hdri_bump_07_b.png,0,12,12,6,"[1, 0]",left,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_bump_08_a.png,stimuli/lamp_bump_08_b.png,0,13,13,27,"[1, 0]",right,0,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_light_06_a.png,stimuli/hdri_light_06_b.png,0,14,14,15,"[0, 1]",left,0,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_bump_10_a.png,stimuli/hdri_bump_10_b.png,0,15,15,9,"[0, 1]",right,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/lamp_light_09_a.png,stimuli/lamp_light_09_b.png,0,16,16,38,"[0, 1]",right,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_light_04_a.png,stimuli/hdri_light_04_b.png,0,17,17,13,"[1, 0]",right,0,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
stimuli/hdri_bump_09_a.png,stimuli/hdri_bump_09_b.png,0,18,18,8,"[0, 1]",right,1,19,26,f,y,y,2019_Jul_16_1218,2AFC_task,59.94186838000393,
