stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/lamp_light_06_a.png,stimuli/lamp_light_06_b.png,0,0,0,35,"[1, 0]",left,1,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/lamp_bump_01_a.png,stimuli/lamp_bump_01_b.png,0,1,1,20,"[1, 0]",right,0,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/hdri_light_07_a.png,stimuli/hdri_light_07_b.png,0,2,2,16,"[1, 0]",left,1,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/hdri_bump_04_a.png,stimuli/hdri_bump_04_b.png,0,3,3,3,"[0, 1]",right,1,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/hdri_light_06_a.png,stimuli/hdri_light_06_b.png,0,4,4,15,"[1, 0]",right,0,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/hdri_bump_08_a.png,stimuli/hdri_bump_08_b.png,0,5,5,7,"[1, 0]",left,1,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/lamp_bump_09_a.png,stimuli/lamp_bump_09_b.png,0,6,6,28,"[1, 0]",left,1,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/lamp_bump_03_a.png,stimuli/lamp_bump_03_b.png,0,7,7,22,"[1, 0]",left,1,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/lamp_bump_05_a.png,stimuli/lamp_bump_05_b.png,0,8,8,24,"[0, 1]",right,1,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/hdri_bump_01_a.png,stimuli/hdri_bump_01_b.png,0,9,9,0,"[0, 1]",right,1,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
stimuli/hdri_bump_06_a.png,stimuli/hdri_bump_06_b.png,0,10,10,5,"[1, 0]",right,0,99,21,f,y,y,2019_Jul_15_1424,2AFC_task,59.97986930366154,
