stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/hdri_bump_09_a.png,stimuli/hdri_bump_09_b.png,0,0,0,8,"[1, 0]",left,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_bump_04_a.png,stimuli/hdri_bump_04_b.png,0,1,1,3,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_05_a.png,stimuli/hdri_light_05_b.png,0,2,2,14,"[0, 1]",left,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_08_a.png,stimuli/hdri_light_08_b.png,0,3,3,17,"[1, 0]",left,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_light_01_a.png,stimuli/lamp_light_01_b.png,0,4,4,30,"[1, 0]",right,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_bump_10_a.png,stimuli/hdri_bump_10_b.png,0,5,5,9,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_bump_08_a.png,stimuli/lamp_bump_08_b.png,0,6,6,27,"[1, 0]",right,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_07_a.png,stimuli/hdri_light_07_b.png,0,7,7,16,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_bump_09_a.png,stimuli/lamp_bump_09_b.png,0,8,8,28,"[0, 1]",left,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_01_a.png,stimuli/hdri_light_01_b.png,0,9,9,10,"[0, 1]",left,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_bump_04_a.png,stimuli/lamp_bump_04_b.png,0,10,10,23,"[1, 0]",right,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_bump_05_a.png,stimuli/hdri_bump_05_b.png,0,11,11,4,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_light_10_a.png,stimuli/lamp_light_10_b.png,0,12,12,39,"[1, 0]",left,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_02_a.png,stimuli/hdri_light_02_b.png,0,13,13,11,"[1, 0]",right,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_03_a.png,stimuli/hdri_light_03_b.png,0,14,14,12,"[0, 1]",left,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_light_02_a.png,stimuli/lamp_light_02_b.png,0,15,15,31,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_bump_07_a.png,stimuli/hdri_bump_07_b.png,0,16,16,6,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_bump_08_a.png,stimuli/hdri_bump_08_b.png,0,17,17,7,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_bump_06_a.png,stimuli/lamp_bump_06_b.png,0,18,18,25,"[0, 1]",left,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_04_a.png,stimuli/hdri_light_04_b.png,0,19,19,13,"[1, 0]",left,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_bump_03_a.png,stimuli/lamp_bump_03_b.png,0,20,20,22,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/lamp_light_03_a.png,stimuli/lamp_light_03_b.png,0,21,21,32,"[0, 1]",right,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_06_a.png,stimuli/hdri_light_06_b.png,0,22,22,15,"[0, 1]",left,0,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
stimuli/hdri_light_10_a.png,stimuli/hdri_light_10_b.png,0,23,23,19,"[1, 0]",left,1,87,25,f,y,y,2019_Jul_12_1425,2AFC_task,59.982425153518186,
