stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/hdri_light_09_a.png,stimuli/hdri_light_09_b.png,0,32,32,18,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_01_a.png,stimuli/hdri_light_01_b.png,0,33,33,10,"[0, 1]",left,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_04_a.png,stimuli/hdri_light_04_b.png,0,34,34,13,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_08_a.png,stimuli/lamp_light_08_b.png,0,35,35,37,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_10_a.png,stimuli/hdri_light_10_b.png,0,36,36,19,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_06_a.png,stimuli/hdri_bump_06_b.png,0,37,37,5,"[0, 1]",left,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_07_a.png,stimuli/hdri_light_07_b.png,0,38,38,16,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_03_a.png,stimuli/lamp_light_03_b.png,0,39,39,32,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_05_a.png,stimuli/hdri_light_05_b.png,1,0,40,14,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_01_a.png,stimuli/hdri_light_01_b.png,1,1,41,10,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_06_a.png,stimuli/hdri_bump_06_b.png,1,2,42,5,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_04_a.png,stimuli/lamp_bump_04_b.png,1,3,43,23,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_05_a.png,stimuli/lamp_light_05_b.png,1,4,44,34,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_10_a.png,stimuli/hdri_bump_10_b.png,1,5,45,9,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_02_a.png,stimuli/hdri_bump_02_b.png,1,6,46,1,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_09_a.png,stimuli/lamp_bump_09_b.png,1,7,47,28,"[0, 1]",left,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_08_a.png,stimuli/lamp_bump_08_b.png,1,8,48,27,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_10_a.png,stimuli/lamp_light_10_b.png,1,9,49,39,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_02_a.png,stimuli/lamp_bump_02_b.png,1,10,50,21,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_01_a.png,stimuli/hdri_bump_01_b.png,1,11,51,0,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_03_a.png,stimuli/hdri_bump_03_b.png,1,12,52,2,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_08_a.png,stimuli/lamp_light_08_b.png,1,13,53,37,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_09_a.png,stimuli/hdri_bump_09_b.png,1,14,54,8,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_light_07_a.png,stimuli/lamp_light_07_b.png,1,15,55,36,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_08_a.png,stimuli/hdri_light_08_b.png,1,16,56,17,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_10_a.png,stimuli/lamp_bump_10_b.png,1,17,57,29,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_09_a.png,stimuli/hdri_light_09_b.png,1,18,58,18,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_03_a.png,stimuli/lamp_bump_03_b.png,1,19,59,22,"[0, 1]",right,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/lamp_bump_05_a.png,stimuli/lamp_bump_05_b.png,1,20,60,24,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_bump_05_a.png,stimuli/hdri_bump_05_b.png,1,21,61,4,"[1, 0]",left,1,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
stimuli/hdri_light_02_a.png,stimuli/hdri_light_02_b.png,1,22,62,11,"[1, 0]",right,0,33,33,m,y,y,2019_Jul_11_1240,2AFC_task,59.92710464505767,
