stimOne,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,rating,decisionTime,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli\rgb_scene000037.png,0,37,37,36,2,3.138,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000038.png,0,38,38,37,5,2.024,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000006.png,0,39,39,5,1,1.65,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000011.png,0,40,40,10,1,1.201,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000002.png,0,41,41,1,6,2.479,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000034.png,0,42,42,33,5,1.729,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000001.png,0,43,43,0,3,2.581,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000016.png,0,44,44,15,2,4.917,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000041.png,0,45,45,40,1,1.299,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000009.png,0,46,46,8,1,2.702,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000018.png,0,47,47,17,2,2.687,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000007.png,0,48,48,6,5,2.358,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000036.png,0,49,49,35,1,1.815,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000050.png,1,0,50,49,3,6.065,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000013.png,1,1,51,12,1,1.783,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000011.png,1,2,52,10,1,1.349,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000015.png,1,3,53,14,1,4.416,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000033.png,1,4,54,32,2,2.445,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000007.png,1,5,55,6,5,1.808,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000023.png,1,6,56,22,1,1.853,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000014.png,1,7,57,13,2,1.792,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000009.png,1,8,58,8,1,1.382,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000019.png,1,9,59,18,1,2.219,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000003.png,1,10,60,2,6,2.832,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000032.png,1,11,61,31,1,1.838,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000031.png,1,12,62,30,2,3.566,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000005.png,1,13,63,4,1,1.868,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000045.png,1,14,64,44,3,4.401,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000008.png,1,15,65,7,2,2.2,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000017.png,1,16,66,16,5,3.481,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000006.png,1,17,67,5,1,1.819,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000048.png,1,18,68,47,6,1.74,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000018.png,1,19,69,17,2,2.704,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000038.png,1,20,70,37,6,2.344,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000046.png,1,21,71,45,2,2.325,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000043.png,1,22,72,42,1,2.649,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000004.png,1,23,73,3,4,2.544,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000027.png,1,24,74,26,2,3.318,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000016.png,1,25,75,15,3,1.78,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000029.png,1,26,76,28,2,1.628,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000025.png,1,27,77,24,1,2.066,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000026.png,1,28,78,25,1,1.996,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000020.png,1,29,79,19,1,3.2,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000041.png,1,30,80,40,1,3.434,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000012.png,1,31,81,11,1,1.82,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000047.png,1,32,82,46,3,2.562,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000044.png,1,33,83,43,6,2.519,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000022.png,1,34,84,21,2,3.145,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000001.png,1,35,85,0,4,3.217,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000024.png,1,36,86,23,3,2.442,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000034.png,1,37,87,33,5,3.748,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000028.png,1,38,88,27,6,1.857,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000040.png,1,39,89,39,1,2.249,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000039.png,1,40,90,38,1,1.984,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000002.png,1,41,91,1,5,21.709,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000010.png,1,42,92,9,1,2.054,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000035.png,1,43,93,34,6,3.544,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000042.png,1,44,94,41,3,6.445,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000021.png,1,45,95,20,6,1.759,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000037.png,1,46,96,36,1,1.751,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000049.png,1,47,97,48,2,1.844,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000036.png,1,48,98,35,1,1.835,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000030.png,1,49,99,29,5,2.045,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000043.png,2,0,100,42,1,1.516,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000032.png,2,1,101,31,1,1.9,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000009.png,2,2,102,8,1,1.477,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000037.png,2,3,103,36,1,1.72,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
stimuli\rgb_scene000022.png,2,4,104,21,2,1.865,06,24,f,y,y,2019_Apr_04_1249,gloss_ratings_task,59.9071439172872,
