stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/rgb_scene000005_render000003.png,stimuli/rgb_scene000005_render000005.png,0,0,0,37,"[1, 0]",right,0,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000096_render000003.png,stimuli/rgb_scene000096_render000006.png,0,1,1,122,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000195_render000001.png,stimuli/rgb_scene000195_render000005.png,0,2,2,198,"[0, 1]",left,0,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000096_render000001.png,stimuli/rgb_scene000096_render000003.png,0,3,3,112,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000005_render000000.png,stimuli/rgb_scene000005_render000005.png,0,4,4,25,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000095_render000002.png,stimuli/rgb_scene000095_render000005.png,0,5,5,97,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000113_render000001.png,stimuli/rgb_scene000113_render000003.png,0,6,6,154,"[1, 0]",left,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000095_render000004.png,stimuli/rgb_scene000095_render000005.png,0,7,7,102,"[1, 0]",left,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000095_render000002.png,stimuli/rgb_scene000095_render000003.png,0,8,8,95,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000005_render000001.png,stimuli/rgb_scene000005_render000006.png,0,9,9,31,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000195_render000002.png,stimuli/rgb_scene000195_render000004.png,0,10,10,201,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000095_render000001.png,stimuli/rgb_scene000095_render000002.png,0,11,11,90,"[1, 0]",left,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000195_render000000.png,stimuli/rgb_scene000195_render000004.png,0,12,12,192,"[1, 0]",left,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000102_render000003.png,stimuli/rgb_scene000102_render000006.png,0,13,13,143,"[1, 0]",left,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000102_render000000.png,stimuli/rgb_scene000102_render000001.png,0,14,14,126,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000004_render000004.png,stimuli/rgb_scene000004_render000005.png,0,15,15,18,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
stimuli/rgb_scene000113_render000004.png,stimuli/rgb_scene000113_render000005.png,0,16,16,165,"[0, 1]",right,1,244,23,f,y,y,2019_Apr_30_1041,2AFC_task,59.99501069241021,
