stimOne,stimTwo,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,presentation_positions,resp_key,corresponding_image,participant ID (two digits, e.g. 01),age,gender (m/f/-),normal or corrected-to-normal vision (y/n),normal colour vision (y/n),date,expName,frameRate,
stimuli/rgb_scene000195_render000001.png,stimuli/rgb_scene000195_render000003.png,0,0,0,196,"[1, 0]",left,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000096_render000000.png,stimuli/rgb_scene000096_render000006.png,0,1,1,110,"[1, 0]",left,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000113_render000001.png,stimuli/rgb_scene000113_render000002.png,0,2,2,153,"[1, 0]",left,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000146_render000000.png,stimuli/rgb_scene000146_render000006.png,0,3,3,173,"[1, 0]",left,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000012_render000001.png,stimuli/rgb_scene000012_render000003.png,0,4,4,49,"[1, 0]",left,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000195_render000005.png,stimuli/rgb_scene000195_render000006.png,0,5,5,209,"[1, 0]",right,0,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000113_render000000.png,stimuli/rgb_scene000113_render000004.png,0,6,6,150,"[0, 1]",right,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000102_render000002.png,stimuli/rgb_scene000102_render000004.png,0,7,7,138,"[0, 1]",right,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000004_render000001.png,stimuli/rgb_scene000004_render000005.png,0,8,8,9,"[0, 1]",right,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000113_render000002.png,stimuli/rgb_scene000113_render000004.png,0,9,9,159,"[0, 1]",right,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000096_render000001.png,stimuli/rgb_scene000096_render000005.png,0,10,10,114,"[1, 0]",left,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000096_render000002.png,stimuli/rgb_scene000096_render000005.png,0,11,11,118,"[1, 0]",left,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
stimuli/rgb_scene000195_render000001.png,stimuli/rgb_scene000195_render000005.png,0,12,12,198,"[0, 1]",right,1,785,31,f,y,y,2019_Apr_29_1602,2AFC_task,59.933877469308115,
